Agency_Name,Planned_Project_Completion_Date_B2,Projected_slash_Actual_Project_Completion_Date_B2,Project_isDelayed,Lifecycle_Cost,Start_Date
Department of Health and Human Services,,,,20.546,10/03/2012
Department of Health and Human Services,,,,23.98,10/03/2012
Department of Health and Human Services,,,,10.406,01/01/2012
Department of Health and Human Services,,,,26.85,10/03/2012
Department of Health and Human Services,,,,3.25,07/05/2012
Department of Health and Human Services,,,,103.589,15/04/2011
Department of Homeland Security,30/11/2014,30/11/2014,0,5,15/02/2012
Department of Homeland Security,30/09/2014,30/09/2014,0,258,19/08/2005
Department of Homeland Security,09/04/2014,08/04/2014,-1,2.3,10/04/2009
Department of Homeland Security,31/07/2013,31/07/2013,0,756.28,01/07/2010
Department of Homeland Security,19/07/2013,19/07/2013,0,50.281,01/02/2010
Department of Homeland Security,05/07/2013,05/07/2013,0,2.5,06/07/2010
Department of Homeland Security,03/10/2012,30/04/2013,209,107.16,29/09/2010
Department of Homeland Security,01/04/2013,01/04/2013,0,22.342,01/09/2011
Department of Homeland Security,30/09/2011,29/03/2013,546,328.24,30/09/2011
Department of Homeland Security,15/02/2013,15/02/2013,0,0.194,11/01/2012
Department of Homeland Security,22/06/2012,01/02/2013,224,1.45,28/08/2011
Department of Homeland Security,01/05/2012,13/01/2013,257,2,01/07/2011
Department of Homeland Security,06/01/2013,06/01/2013,0,2.4,08/01/2008
Department of Homeland Security,31/12/2012,31/12/2012,0,3.43,10/06/2011
Department of Homeland Security,30/06/2012,31/12/2012,184,21.61,01/10/2010
Department of Homeland Security,31/12/2012,31/12/2012,0,3.8,01/10/2011
Department of Homeland Security,31/12/2012,31/12/2012,0,1.2,01/10/2011
Department of Homeland Security,31/12/2012,31/12/2012,0,22.7,01/11/2011
Department of Homeland Security,31/12/2012,31/12/2012,0,33.53,01/10/2011
Department of Homeland Security,31/12/2012,31/12/2012,0,76.55,01/10/2011
Department of Homeland Security,30/12/2012,30/12/2012,0,157.248,28/04/2010
Department of Homeland Security,31/07/2012,30/11/2012,122,125.49,01/10/2008
Department of Homeland Security,30/11/2012,30/11/2012,0,25,01/10/2011
Department of Homeland Security,30/08/2012,15/11/2012,77,9,30/09/2011
Department of Homeland Security,31/10/2012,31/10/2012,0,22.939,31/07/2011
Department of Homeland Security,31/07/2012,23/10/2012,84,90.93,04/11/2010
Department of Homeland Security,21/10/2012,21/10/2012,0,177.7,01/10/2009
Department of Homeland Security,23/07/2012,19/10/2012,88,3,10/09/2010
Department of Homeland Security,10/10/2012,03/10/2012,-7,6.768,22/03/2011
Department of Homeland Security,20/06/2012,03/10/2012,105,3.586,23/08/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,18.677,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,3.002,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,14.855,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,20,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,2,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,0.09,01/01/2012
Department of Homeland Security,25/12/2011,30/09/2012,280,1.2,01/07/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,1.75,01/10/2010
Department of Homeland Security,30/09/2012,30/09/2012,0,1.5,01/01/2012
Department of Homeland Security,30/09/2012,30/09/2012,0,6.488,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,37,24/09/2008
Department of Homeland Security,30/09/2012,30/09/2012,0,3.094,01/06/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,0.772,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,10.5,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,82.5,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,5,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,6.57,01/07/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,18,01/07/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,60.47,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,27.3,01/10/2009
Department of Homeland Security,08/12/2015,30/09/2012,-1164,16,07/12/2010
Department of Homeland Security,02/10/2015,30/09/2012,-1097,0.518,01/10/2004
Department of Homeland Security,30/09/2012,30/09/2012,0,1.44,02/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,21.15,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,7.018,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,2.4,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,5.32,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,11.03,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,8.743,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,12.6,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,3.223,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,2.55,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,7.05,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,24.58,01/10/2011
Department of Homeland Security,01/06/2012,30/09/2012,121,65.82,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,167.35,01/10/2011
Department of Homeland Security,30/09/2012,30/09/2012,0,45,01/06/2008
Department of Homeland Security,29/09/2012,29/09/2012,0,3.317,01/10/2010
Department of Homeland Security,29/09/2012,29/09/2012,0,19,01/01/2009
Department of Homeland Security,28/09/2012,28/09/2012,0,4.7,01/10/2011
Department of Homeland Security,28/09/2012,28/09/2012,0,1.5,01/10/2011
Department of Homeland Security,28/09/2012,28/09/2012,0,1.5,01/10/2011
Department of Homeland Security,28/09/2012,28/09/2012,0,1,01/10/2011
Department of Homeland Security,28/09/2012,28/09/2012,0,2.69,30/11/2011
Department of Homeland Security,28/09/2012,28/09/2012,0,142.787,01/10/2001
Department of Homeland Security,28/09/2012,28/09/2012,0,24.444,01/04/2010
Department of Homeland Security,13/08/2012,20/09/2012,38,3.773,08/02/2011
Department of Homeland Security,17/09/2012,17/09/2012,0,8.5,01/10/2011
Department of Homeland Security,17/09/2012,17/09/2012,0,18.442,01/10/2011
Department of Homeland Security,15/09/2012,15/09/2012,0,5.374,01/10/2011
Department of Homeland Security,01/05/2012,31/08/2012,122,5,01/03/2012
Department of Homeland Security,31/08/2012,31/08/2012,0,0.945,25/08/2011
Department of Homeland Security,31/08/2012,31/08/2012,0,0.12,01/07/2011
Department of Homeland Security,30/08/2012,30/08/2012,0,2.5,01/12/2004
Department of Homeland Security,30/09/2012,30/08/2012,-31,181.204,01/10/2006
Department of Homeland Security,29/08/2012,29/08/2012,0,1.344,03/11/2011
Department of Homeland Security,31/03/2013,29/08/2012,-214,33.753,01/08/2008
Department of Homeland Security,17/09/2012,15/08/2012,-33,0.574,06/04/2012
Department of Homeland Security,31/03/2012,10/08/2012,132,1817.813,28/04/2010
Department of Homeland Security,10/09/2012,03/08/2012,-38,0.683,05/03/2012
Department of Homeland Security,01/07/2012,01/08/2012,31,0.25,16/04/2011
Department of Homeland Security,31/07/2012,31/07/2012,0,2.206,01/03/2011
Department of Homeland Security,28/07/2012,28/07/2012,0,15.788,24/07/2011
Department of Homeland Security,24/07/2012,24/07/2012,0,0.234,01/07/2011
Department of Homeland Security,27/07/2012,24/07/2012,-3,1.33,01/07/2011
Department of Homeland Security,31/01/2012,21/07/2012,172,2.62,31/01/2011
Department of Homeland Security,18/07/2012,20/07/2012,2,0.9,05/12/2011
Department of Homeland Security,14/07/2012,14/07/2012,0,1.793,15/07/2010
Department of Homeland Security,31/12/2011,30/06/2012,182,97.69,01/10/2008
Department of Homeland Security,30/06/2012,30/06/2012,0,2.667,01/10/2011
Department of Homeland Security,31/07/2012,29/06/2012,-32,12.214,01/03/2009
Department of Homeland Security,27/06/2012,27/06/2012,0,1.338,17/02/2011
Department of Homeland Security,23/06/2012,23/06/2012,0,17.76,14/08/2011
Department of Homeland Security,20/07/2012,18/06/2012,-32,0.65,01/04/2011
Department of Homeland Security,08/06/2012,08/06/2012,0,0.668,05/03/2011
Department of Homeland Security,23/05/2012,08/06/2012,16,0.3,11/10/2011
Department of Homeland Security,06/06/2012,06/06/2012,0,0.052,07/06/2010
Department of Homeland Security,23/05/2012,04/06/2012,12,0.35,11/10/2011
Department of Homeland Security,29/02/2012,31/05/2012,92,176.591,28/04/2010
Department of Homeland Security,15/03/2012,31/05/2012,77,6.5,01/06/2009
Department of Homeland Security,20/04/2012,29/05/2012,39,0.602,16/11/2011
Department of Homeland Security,17/07/2012,14/05/2012,-64,0.287,19/03/2012
Department of Homeland Security,01/06/2012,09/05/2012,-23,13.379,03/01/2011
Department of Homeland Security,15/06/2012,07/05/2012,-39,0.25,01/09/2009
Department of Homeland Security,30/09/2011,30/04/2012,213,14.56,01/10/2010
Department of Homeland Security,21/04/2012,30/04/2012,9,2.308,01/10/2011
Department of Homeland Security,30/04/2012,30/04/2012,0,0.2,15/04/2010
Department of Homeland Security,30/11/2011,30/04/2012,152,23.348,01/10/2010
Department of Homeland Security,30/04/2012,30/04/2012,0,29.563,01/05/2011
Department of Homeland Security,29/04/2012,29/04/2012,0,22.848,06/05/2011
Department of Homeland Security,30/09/2012,27/04/2012,-156,567.843,28/04/2010
Department of Homeland Security,14/03/2012,27/04/2012,44,0.552,16/10/2011
Department of Homeland Security,05/01/2012,11/04/2012,97,172.564,21/07/2005
Department of Homeland Security,29/04/2012,30/03/2012,-30,0.883,16/06/2011
Department of Homeland Security,29/04/2012,30/03/2012,-30,0.343,23/05/2011
Department of Homeland Security,03/04/2012,19/03/2012,-15,0.27,14/11/2011
Department of Homeland Security,12/03/2012,17/03/2012,5,1.35,07/11/2011
Department of Homeland Security,30/12/2011,16/03/2012,77,0.1,01/10/2010
Department of Homeland Security,12/12/2011,12/03/2012,91,1.844,20/06/2011
Department of Homeland Security,11/03/2012,11/03/2012,0,0.02,01/02/2012
Department of Homeland Security,30/11/2011,02/03/2012,93,47.121,01/11/2010
Department of Homeland Security,01/03/2012,01/03/2012,0,2.14,01/10/2010
Department of Homeland Security,29/02/2012,29/02/2012,0,7.2,01/03/2007
Department of Homeland Security,27/02/2012,27/02/2012,0,1.4,01/07/2011
Department of Homeland Security,25/02/2012,25/02/2012,0,0.075,01/01/2012
Department of Homeland Security,25/02/2012,25/02/2012,0,0.016,23/01/2012
Department of Homeland Security,15/01/2012,17/02/2012,33,2.4,15/12/2011
Department of Homeland Security,17/02/2012,06/02/2012,-11,0.45,11/10/2011
Department of Homeland Security,31/12/2011,31/01/2012,31,142.98,16/04/2009
Department of Homeland Security,15/01/2012,29/01/2012,14,0.075,21/11/2011
Department of Homeland Security,31/03/2012,27/01/2012,-64,0.159,08/02/2011
Department of Homeland Security,12/01/2012,23/01/2012,11,0.621,01/06/2011
Department of Homeland Security,14/01/2012,16/01/2012,2,142.95,01/10/1996
Department of Homeland Security,30/09/2011,01/01/2012,93,1.98,01/10/2010
Department of Homeland Security,31/12/2011,31/12/2011,0,9,01/03/2011
Department of Homeland Security,18/12/2011,18/12/2011,0,0.075,30/10/2011
Department of Homeland Security,30/11/2011,13/12/2011,13,40.4,01/10/2008
Department of Homeland Security,12/12/2011,12/12/2011,0,0.328,01/09/2011
Department of Homeland Security,21/11/2011,09/12/2011,18,0.565,01/07/2011
Department of Homeland Security,30/12/2011,01/12/2011,-29,2.5,15/03/2011
Department of Homeland Security,02/12/2011,01/12/2011,-1,0.5,02/02/2011
Department of Homeland Security,15/11/2011,15/11/2011,0,2.99,16/11/2010
Department of Homeland Security,14/11/2011,14/11/2011,0,0.496,06/06/2011
Department of Homeland Security,12/12/2011,06/11/2011,-36,0.1,26/06/2011
Department of Homeland Security,31/10/2011,31/10/2011,0,0.155,18/07/2011
Department of Homeland Security,23/10/2011,30/10/2011,7,0.9,21/10/2010
Department of Homeland Security,28/02/2012,24/10/2011,-127,0.063,10/04/2009
Department of Homeland Security,24/10/2011,24/10/2011,0,0.419,30/04/2009
Department of Homeland Security,24/10/2011,24/10/2011,0,0.438,14/06/2011
Department of Homeland Security,14/10/2011,13/10/2011,-1,0.873,01/04/2011
Department of Homeland Security,01/10/2011,05/10/2011,4,3.69,01/10/2010
Department of Homeland Security,31/03/2012,03/10/2011,-180,65.022,28/04/2010
Department of Homeland Security,30/09/2011,30/09/2011,0,0.286,01/10/2010
Department of Homeland Security,30/09/2011,30/09/2011,0,1.624,01/10/2010
Department of Homeland Security,30/09/2011,30/09/2011,0,3.65,01/10/2010
Department of Homeland Security,30/09/2011,30/09/2011,0,1.19,01/10/2010
Department of Homeland Security,30/09/2011,30/09/2011,0,7.655,01/10/2010
Department of Homeland Security,30/09/2011,30/09/2011,0,1.8,01/07/2011
Department of Homeland Security,30/09/2011,30/09/2011,0,0.204,01/09/2011
Department of Homeland Security,30/09/2011,30/09/2011,0,0.742,01/07/2011
Department of Homeland Security,19/09/2011,30/09/2011,11,3.5,19/08/2011
Department of Homeland Security,30/09/2011,30/09/2011,0,58.307,01/10/2010
Department of Homeland Security,29/09/2011,29/09/2011,0,1.459,01/10/2010
Department of Homeland Security,12/09/2011,12/09/2011,0,0.03,22/08/2011
Department of Homeland Security,30/08/2011,30/08/2011,0,0.313,02/02/2011
Department of Homeland Security,25/08/2011,25/08/2011,0,0.523,02/12/2010
Department of Homeland Security,31/10/2011,19/08/2011,-73,8.44,01/07/2010
Department of Homeland Security,15/07/2011,15/07/2011,0,1.419,01/06/2010
Department of Homeland Security,,,,4,18/10/2011
Department of Homeland Security,,,,603.445,28/04/2010
Department of Homeland Security,,,,111.6,08/06/2012
Department of Homeland Security,,,,181.47,01/07/2002
Department of Homeland Security,,,,155.705,01/05/2008
Department of Homeland Security,,,,65.75,01/10/2012
Department of Homeland Security,,,,613.07,01/10/2008
Department of Homeland Security,,,,2516.82,01/10/2008
Department of Homeland Security,,,,5.336,01/10/2011
Department of Homeland Security,,,,6.072,01/10/2011
Department of Homeland Security,,,,10.14,01/10/2011
Department of Homeland Security,,,,3.805,01/10/2011
Department of Homeland Security,,,,2.75,01/04/2013
Department of Homeland Security,,,,115.17,01/10/2011
Department of Homeland Security,,,,2.5,03/10/2011
Department of Homeland Security,,,,10,03/10/2011
Department of Homeland Security,,,,12,01/10/2012
Department of Homeland Security,,,,25.844,01/10/2012
Department of Homeland Security,,,,5.2,01/10/2011
Department of Homeland Security,,,,2,01/10/2012
Department of Homeland Security,,,,161.9,01/10/2010
Department of Homeland Security,,,,3.2,01/10/2010
Department of Homeland Security,,,,0.902,22/07/2011
Department of Homeland Security,,,,0.179,24/10/2011
Department of Homeland Security,,,,2.606,30/09/2011
Department of Homeland Security,,,,3.57,03/10/2011
Department of Homeland Security,,,,3.85,15/04/2011
Department of Homeland Security,,,,2.092,13/06/2011
Department of Homeland Security,,,,0.849,31/10/2011
Department of Homeland Security,,,,43.2,31/08/2011
Department of Homeland Security,,,,8.3,14/04/2011
Department of Homeland Security,,,,12.064,29/09/2011
Department of Homeland Security,,,,2.36,29/12/2010
Department of Homeland Security,,,,29.199,29/09/2010
Department of Homeland Security,,,,0.631,01/06/2011
Department of Homeland Security,,,,3.36,01/11/2010
Department of Homeland Security,,,,5,01/07/2011
Department of Homeland Security,,,,2.448,01/10/2011
Department of Homeland Security,,,,16,01/11/2011
Department of Homeland Security,,,,16,01/11/2012
Department of Homeland Security,,,,50.04,16/10/2011
Department of Homeland Security,,,,5,01/06/2011
Department of Homeland Security,,,,12,30/09/2011
Department of Homeland Security,,,,0.09,01/01/2012
Department of Homeland Security,,,,0.75,30/09/2012
Department of Homeland Security,,,,0.75,30/09/2012
Department of Homeland Security,,,,5.6,02/04/2012
Department of Homeland Security,,,,0.8,01/10/2012
Department of Homeland Security,,,,1.2,25/09/2012
Department of Homeland Security,,,,31.272,01/10/2010
Department of Homeland Security,,,,31,01/08/2010
Department of Homeland Security,,,,88.807,01/10/2010
Department of Homeland Security,,,,5.64,04/07/2011
Department of Homeland Security,,,,9.5,01/10/2010
Department of Homeland Security,,,,45.1,12/12/2008
Department of Homeland Security,,,,30.5,24/09/2008
Department of Homeland Security,,,,7.509,02/08/2010
Department of Homeland Security,,,,15.45,01/07/2011
Department of Homeland Security,,,,16,14/09/2012
Department of Homeland Security,,,,3.153,01/07/2011
Department of Homeland Security,,,,0.9,06/08/2012
Department of Homeland Security,,,,0.2,01/11/2011
Department of Homeland Security,,,,0.305,11/10/2011
Department of Homeland Security,,,,0.449,03/01/2012
Department of Homeland Security,,,,0.42,09/04/2012
Department of Homeland Security,,,,0.342,23/04/2012
Department of Homeland Security,,,,0.347,23/04/2012
Department of Homeland Security,,,,0.35,06/09/2011
Department of Homeland Security,,,,0.35,02/01/2012
Department of Homeland Security,,,,0.35,30/04/2012
Department of Homeland Security,,,,2.58,03/10/2011
Department of Homeland Security,,,,11,23/05/2012
Department of Homeland Security,,,,88.783,01/03/2009
Department of Homeland Security,,,,42.861,01/12/2009
Department of Homeland Security,,,,46.456,01/10/2010
Department of Homeland Security,,,,116.114,01/10/2011
Department of Homeland Security,,,,0.938,16/11/2011
Department of Homeland Security,,,,0.773,02/07/2012
Department of Homeland Security,,,,17.982,25/07/2008
Department of Homeland Security,,,,36.315,22/01/2010
Department of Homeland Security,,,,16.217,30/09/2009
Department of Homeland Security,,,,76.44,01/10/2011
Department of Homeland Security,,,,72.961,01/10/2006
Department of Homeland Security,,,,46.222,01/10/2006
Department of Homeland Security,,,,65.679,01/10/2006
Department of Homeland Security,,,,138.724,01/10/2006
Department of Homeland Security,,,,9.397,01/02/2004
Department of Homeland Security,,,,9.397,01/02/2004
Department of Homeland Security,,,,24.444,01/04/2010
Department of Homeland Security,,,,16.612,01/04/2010
Department of Homeland Security,,,,16.612,01/04/2010
Department of Homeland Security,,,,4.735,01/10/2009
Department of Homeland Security,,,,10.602,01/07/2006
Department of Homeland Security,,,,8.651,28/09/2005
Department of Homeland Security,,,,6.29,01/01/2010
Department of Homeland Security,,,,31.768,01/08/2008
Department of Homeland Security,,,,24.106,01/12/2009
Department of Homeland Security,,,,13.159,01/05/2010
Department of Homeland Security,,,,2.275,10/09/2010
Department of Homeland Security,,,,56,18/09/2012
Department of Homeland Security,,,,49,18/09/2012
Department of Homeland Security,,,,119,18/09/2012
Department of Homeland Security,,,,41,01/02/2010
Department of Homeland Security,,,,6.2,23/01/2011
Department of Homeland Security,,,,0.15,15/03/2012
Department of Homeland Security,,,,98.748,16/04/2012
Department of Housing and Urban Development,31/10/2012,31/10/2012,0,7,10/02/2011
Department of Housing and Urban Development,30/09/2012,30/09/2012,0,0.4,22/03/2012
Department of Housing and Urban Development,30/09/2012,30/09/2012,0,0.8005,22/03/2012
Department of Housing and Urban Development,30/09/2012,30/09/2012,0,2.037212,22/03/2012
Department of Housing and Urban Development,26/03/2012,05/07/2012,101,40.7,27/09/2010
Department of Housing and Urban Development,25/04/2012,25/04/2012,0,2.4,20/12/2011
Department of Housing and Urban Development,,,,51.5,12/01/2010
Department of Housing and Urban Development,,,,25.6,15/11/2010
Department of Housing and Urban Development,,,,3,19/09/2011
Department of Housing and Urban Development,,,,29.5,15/03/2011
Department of Housing and Urban Development,,,,6.5,08/09/2008
Department of Housing and Urban Development,,,,41.1,15/03/2010
Department of Housing and Urban Development,,,,8.6,24/05/2010
Department of Housing and Urban Development,,,,3.021108,07/10/2011
Department of Housing and Urban Development,,,,3.154476,07/10/2011
Department of Justice,30/03/2015,30/03/2015,0,48.421,18/10/2010
Department of Justice,18/09/2013,18/09/2013,0,851.145712,01/10/2002
Department of Justice,02/01/2013,02/01/2013,0,0.747266,01/01/2012
Department of Justice,14/12/2012,14/12/2012,0,17.661015,01/03/2010
Department of Justice,30/09/2012,27/10/2012,27,0.99825,15/11/2011
Department of Justice,30/09/2012,30/09/2012,0,6.12,01/10/2011
Department of Justice,27/09/2012,27/09/2012,0,6.04,28/09/2011
Department of Justice,05/09/2012,05/09/2012,0,5.902,01/11/2010
Department of Justice,31/08/2012,31/08/2012,0,1.884,03/10/2011
Department of Justice,24/08/2012,24/08/2012,0,2.898189,01/05/2011
Department of Justice,31/07/2012,31/07/2012,0,4,01/08/2011
Department of Justice,23/06/2012,23/06/2012,0,6.85,01/07/2011
Department of Justice,23/03/2012,08/06/2012,77,15.675,23/03/2011
Department of Justice,31/05/2012,31/05/2012,0,1.884,01/07/2011
Department of Justice,16/05/2012,25/05/2012,9,32.6383,01/10/2010
Department of Justice,30/06/2012,29/04/2012,-62,0.5576,01/06/2011
Department of Justice,01/03/2012,01/03/2012,0,4.845,10/05/2010
Department of Justice,29/02/2012,29/02/2012,0,1.884,01/04/2011
Department of Justice,15/02/2012,01/02/2012,-14,2.811,03/06/2011
Department of Justice,03/12/2011,02/12/2011,-1,4.128,03/06/2011
Department of Justice,30/09/2011,30/09/2011,0,26.428,04/01/2011
Department of Justice,27/09/2011,27/09/2011,0,1.61,01/07/2011
Department of Justice,,,,13.655,01/06/2009
Department of Justice,,,,1.425,01/08/2011
Department of Justice,,,,21.07708,05/10/2011
Department of Justice,,,,16.278,18/07/2011
Department of Justice,,,,8.48,01/10/2011
Department of Justice,,,,2.858,02/05/2011
Department of Justice,,,,6.35,31/10/2011
Department of Justice,,,,4.43,01/06/2012
Department of Justice,,,,6.155,10/05/2010
Department of Justice,,,,3.259,05/12/2011
Department of Justice,,,,3.259,02/01/2012
Department of Justice,,,,4.888,01/06/2012
Department of Justice,,,,3.307,02/01/2013
Department of Justice,,,,5.035,02/01/2013
Department of Justice,,,,,
Department of Justice,,,,21.575,03/10/2011
Department of Justice,,,,1.884,02/01/2012
Department of Justice,,,,1.884,01/07/2012
Department of Justice,,,,1.884,02/04/2012
Department of Justice,,,,1127.174,07/05/2008
Department of Labor,28/09/2012,30/09/2013,367,6,01/05/2011
Department of Labor,03/01/2013,03/01/2013,0,0.756,05/07/2012
Department of Labor,02/04/2012,31/12/2012,273,0.03,03/10/2011
Department of Labor,02/04/2012,31/12/2012,273,0.03,03/10/2011
Department of Labor,30/09/2011,16/10/2012,382,0.66,01/10/2010
Department of Labor,23/01/2012,30/09/2012,251,0.02,06/06/2011
Department of Labor,30/09/2012,30/09/2012,0,0.27,01/10/2011
Department of Labor,28/09/2012,30/09/2012,2,1,15/03/2010
Department of Labor,30/09/2012,30/09/2012,0,0.41,01/10/2011
Department of Labor,28/09/2012,28/09/2012,0,1.0153,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.7807,03/10/2011
Department of Labor,25/09/2012,28/09/2012,3,0.519999,02/04/2012
Department of Labor,28/09/2012,28/09/2012,0,1.028,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,2.571,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.336,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.462,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.42,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.63,03/10/2011
Department of Labor,30/09/2011,28/09/2012,364,0.02,30/06/2011
Department of Labor,28/09/2012,28/09/2012,0,1.81809,01/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.28918,02/07/2012
Department of Labor,28/09/2012,28/09/2012,0,0.11,02/04/2012
Department of Labor,28/09/2012,28/09/2012,0,0.0924,02/07/2012
Department of Labor,28/09/2012,28/09/2012,0,0.0725,02/07/2012
Department of Labor,28/09/2012,28/09/2012,0,1.1425,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,1.029,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.568,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.212,02/04/2012
Department of Labor,28/09/2012,28/09/2012,0,0.664,02/04/2012
Department of Labor,28/09/2012,28/09/2012,0,1.029,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,1.029,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.515,03/10/2011
Department of Labor,28/09/2012,28/09/2012,0,0.005,09/07/2012
Department of Labor,30/09/2012,24/09/2012,-6,7.0438,30/09/2011
Department of Labor,22/09/2012,22/09/2012,0,1.295,23/09/2011
Department of Labor,06/09/2012,06/09/2012,0,1.304,07/09/2011
Department of Labor,02/09/2012,02/09/2012,0,0.962,01/10/2010
Department of Labor,08/03/2012,31/08/2012,176,0.122891,08/08/2011
Department of Labor,22/03/2012,31/08/2012,162,0.251938,19/12/2011
Department of Labor,10/08/2012,10/08/2012,0,4.743254,01/07/2011
Department of Labor,09/07/2012,01/08/2012,23,0.335911,03/01/2012
Department of Labor,29/06/2012,29/06/2012,0,0.30504,03/01/2012
Department of Labor,29/06/2012,29/06/2012,0,0.30848,03/01/2012
Department of Labor,29/06/2012,29/06/2012,0,1.572,03/10/2011
Department of Labor,30/12/2011,05/06/2012,158,0.033184,01/07/2011
Department of Labor,17/03/2012,24/05/2012,68,0.018643,31/08/2011
Department of Labor,30/03/2012,13/04/2012,14,0.331,03/10/2011
Department of Labor,24/02/2012,30/03/2012,35,2.405086,01/04/2009
Department of Labor,07/12/2011,26/03/2012,110,1.04,03/01/2011
Department of Labor,29/02/2012,29/02/2012,0,0.515,03/10/2011
Department of Labor,29/02/2012,29/02/2012,0,0.20776,03/01/2012
Department of Labor,24/02/2012,24/02/2012,0,0.369,04/03/2011
Department of Labor,15/03/2012,17/02/2012,-27,0.294937,31/10/2011
Department of Labor,31/01/2012,17/02/2012,17,0.063317,17/10/2011
Department of Labor,31/12/2011,13/01/2012,13,0.928,22/09/2011
Department of Labor,03/01/2012,03/01/2012,0,0.735,07/07/2011
Department of Labor,30/12/2011,30/12/2011,0,0.05,03/10/2011
Department of Labor,30/12/2011,30/12/2011,0,0.254,04/03/2011
Department of Labor,30/12/2011,30/12/2011,0,0.14856,03/10/2011
Department of Labor,28/09/2011,30/12/2011,93,0.0964,17/06/2011
Department of Labor,30/09/2011,30/12/2011,91,0.137,17/06/2011
Department of Labor,15/12/2011,16/12/2011,1,2.010908,30/09/2010
Department of Labor,21/10/2011,15/12/2011,55,0.33,19/01/2011
Department of Labor,21/10/2011,15/12/2011,55,0.33,19/01/2011
Department of Labor,04/10/2011,07/12/2011,64,1.141,17/06/2011
Department of Labor,25/08/2011,07/12/2011,104,0.0764,08/07/2011
Department of Labor,29/09/2010,25/11/2011,422,2.486,15/06/2010
Department of Labor,30/09/2011,11/11/2011,42,0.08507,25/07/2011
Department of Labor,31/10/2011,31/10/2011,0,0.587886,01/06/2011
Department of Labor,31/10/2011,31/10/2011,0,2.484,13/06/2011
Department of Labor,03/10/2011,21/10/2011,18,0.0971,21/01/2011
Department of Labor,30/12/2011,06/10/2011,-85,0.007,01/07/2011
Department of Labor,30/09/2010,04/10/2011,369,0.18,09/04/2010
Department of Labor,30/09/2011,30/09/2011,0,0.15,01/07/2011
Department of Labor,30/12/2011,30/09/2011,-91,1.735,01/05/2009
Department of Labor,30/09/2011,30/09/2011,0,0.21608,23/09/2011
Department of Labor,30/09/2011,30/09/2011,0,0.674,01/07/2011
Department of Labor,30/09/2011,30/09/2011,0,1.598,01/10/2010
Department of Labor,15/09/2011,29/09/2011,14,2.995,15/09/2010
Department of Labor,03/10/2011,13/09/2011,-20,0.161,02/06/2011
Department of Labor,31/08/2011,19/08/2011,-12,3.769769,01/06/2010
Department of Labor,,,,1.5,01/08/2012
Department of Labor,,,,0.111973,02/01/2012
Department of Labor,,,,0.349498,11/10/2011
Department of Labor,,,,0.13518,28/09/2011
Department of Labor,,,,0.135178,06/02/2012
Department of Labor,,,,0.337949,06/02/2012
Department of Labor,,,,0.122891,23/01/2012
Department of Labor,,,,0.605522,01/06/2012
Department of Labor,,,,1.028,03/10/2011
Department of Labor,,,,0.132906,16/11/2011
Department of Labor,,,,0.12,17/01/2012
